CalcDateTime,Mnemonic,MinPrice,MaxPrice,StartPrice,EndPrice,TradedVolume,NumberOfTrades
2017-07-31,SNH,4.237,4.613,4.456,4.276,51670309.0,43018.0
2017-08-31,SNH,3.5,4.482,4.2410000000000005,4.046,144729055.0,79163.0
2017-09-30,SNH,3.657,4.24,4.069,3.75,62509085.0,39118.0
2017-10-31,SNH,3.638,3.885,3.747,3.764,57745874.0,32423.0
2017-11-30,SNH,3.025,3.792,3.763,3.467,169144702.0,92528.0
2017-12-31,SNH,0.248,3.467,3.466,0.322,1226742376.0,245505.0
2018-01-31,SNH,0.318,0.6126,0.318,0.455,811571329.0,151193.0
2018-02-28,SNH,0.3302,0.47700000000000004,0.45299999999999996,0.4056,328547801.0,73389.0
2018-03-31,SNH,0.1973,0.4098,0.4055,0.2245,437536697.0,68182.0
2018-04-30,SNH,0.1182,0.2366,0.2245,0.1235,731652824.0,76388.0
2018-05-31,SNH,0.0745,0.1417,0.1295,0.0787,422108770.0,34181.0
2018-06-30,SNH,0.071,0.099,0.0804,0.0814,427004388.0,20058.0
2018-07-31,SNH,0.0806,0.247,0.0831,0.1662,721564851.0,29636.0
2018-08-31,SNH,0.1049,0.183,0.1662,0.1598,615055376.0,29072.0
2018-09-30,SNH,0.1383,0.1706,0.153,0.1409,296262251.0,14866.0
2018-10-31,SNH,0.11800000000000001,0.1489,0.1409,0.1205,171574819.0,8984.0
2017-07-31,DBK,14.99,16.78,15.83,15.105,191393378.0,157810.0
2017-08-31,DBK,13.29,15.65,15.13,13.48,176457980.0,138963.0
2017-09-30,DBK,13.195,14.64,13.4,14.585,174083797.0,112385.0
2017-10-31,DBK,13.955,14.815,14.68,14.25,127352887.0,89839.0
2017-11-30,DBK,13.825,16.44,14.02,15.915,303780112.0,201276.0
2017-12-31,DBK,15.655,17.125,15.83,15.85,177054732.0,132870.0
2018-01-31,DBK,14.776,16.456,15.86,14.794,289443083.0,288592.0
2018-02-28,DBK,12.37,15.04,14.81,13.208,322901631.0,319662.0
2018-03-31,DBK,10.998,13.255999999999998,13.136,11.36,258646705.0,244959.0
2018-04-30,DBK,10.824000000000002,12.208,11.18,11.347999999999999,258991570.0,216743.0
2018-05-31,DBK,9.066,11.69,11.414000000000001,9.183,281004532.0,219654.0
2018-06-30,DBK,8.824,9.841000000000001,9.398,9.215,274869828.0,214862.0
2018-07-31,DBK,9.016,11.262,9.043,11.187999999999999,163317769.0,107393.0
2018-08-31,DBK,9.618,11.225999999999999,11.224,9.702,239509742.0,141487.0
2018-09-30,DBK,9.453,10.607999999999999,9.724,9.828,336167100.0,158289.0
2018-10-31,DBK,8.419,9.927999999999999,9.808,8.592,234976782.0,151763.0
