CalcDateTime,Mnemonic,MinPrice,MaxPrice,StartPrice,EndPrice,TradedVolume,NumberOfTrades
2017-07-09,SNH,4.442,4.59,4.456,4.506,10374542.0,8727.0
2017-07-16,SNH,4.325,4.595,4.492,4.531000000000001,18677340.0,13650.0
2017-07-23,SNH,4.4719999999999995,4.613,4.556,4.484,10005147.0,9399.0
2017-07-30,SNH,4.386,4.546,4.48,4.409,9399695.0,9051.0
2017-08-06,SNH,4.187,4.42,4.397,4.355,20688233.0,13405.0
2017-08-13,SNH,4.218,4.482,4.444,4.221,18435059.0,11489.0
2017-08-20,SNH,4.1530000000000005,4.313,4.223,4.165,8395254.0,6107.0
2017-08-27,SNH,3.5,4.309,4.165,3.9130000000000003,84250787.0,41357.0
2017-09-03,SNH,3.8369999999999997,4.077,3.9130000000000003,4.052,19693460.0,10766.0
2017-09-10,SNH,4.035,4.225,4.037,4.22,13160457.0,8120.0
2017-09-17,SNH,3.928,4.24,4.216,3.952,14798991.0,9468.0
2017-09-24,SNH,3.767,3.9930000000000003,3.985,3.82,17219191.0,11288.0
2017-10-01,SNH,3.657,3.83,3.815,3.75,13810293.0,8472.0
2017-10-08,SNH,3.638,3.775,3.747,3.7510000000000003,15255487.0,7568.0
2017-10-15,SNH,3.6460000000000004,3.885,3.7039999999999997,3.861,17678417.0,9580.0
2017-10-22,SNH,3.737,3.8680000000000003,3.8569999999999998,3.802,13241449.0,8873.0
2017-10-29,SNH,3.6460000000000004,3.8,3.793,3.764,11570521.0,6402.0
2017-11-05,SNH,3.6439999999999997,3.78,3.763,3.74,21766839.0,12587.0
2017-11-12,SNH,3.3310000000000004,3.792,3.74,3.444,49324589.0,27275.0
2017-11-19,SNH,3.025,3.45,3.446,3.252,49832480.0,25750.0
2017-11-26,SNH,3.234,3.4619999999999997,3.2560000000000002,3.3089999999999997,24106646.0,13042.0
2017-12-03,SNH,3.28,3.53,3.3089999999999997,3.398,30989730.0,17619.0
2017-12-10,SNH,0.35,3.398,3.398,0.478,507251739.0,128592.0
2017-12-17,SNH,0.475,0.841,0.479,0.547,320819214.0,65198.0
2017-12-24,SNH,0.248,0.664,0.547,0.3,326368964.0,41199.0
2017-12-31,SNH,0.29600000000000004,0.322,0.3,0.322,65426877.0,6771.0
2018-01-07,SNH,0.318,0.6126,0.318,0.5956,232455177.0,33975.0
2018-01-14,SNH,0.4,0.6122,0.596,0.4087,168260471.0,32523.0
2018-01-21,SNH,0.3655,0.544,0.4071,0.508,192957416.0,40084.0
2018-01-28,SNH,0.4597,0.5726,0.51,0.5018,144772118.0,29036.0
2018-02-04,SNH,0.42700000000000005,0.5474,0.5,0.436,97316574.0,22904.0
2018-02-11,SNH,0.38,0.46,0.436,0.39799999999999996,88131996.0,24604.0
2018-02-18,SNH,0.3547,0.4201,0.39899999999999997,0.3781,79223948.0,16799.0
2018-02-25,SNH,0.3302,0.3859,0.37799999999999995,0.3741,71589208.0,13608.0
2018-03-04,SNH,0.2753,0.425,0.3741,0.3077,166984510.0,26575.0
2018-03-11,SNH,0.281,0.33,0.3077,0.2863,68701353.0,10497.0
2018-03-18,SNH,0.275,0.3166,0.2863,0.2761,86502552.0,14503.0
2018-03-25,SNH,0.1973,0.2885,0.2775,0.2227,131731947.0,19881.0
2018-04-01,SNH,0.2126,0.247,0.2378,0.2245,49028557.0,7775.0
2018-04-08,SNH,0.2021,0.2366,0.2245,0.2119,42977215.0,6893.0
2018-04-15,SNH,0.139,0.2119,0.2119,0.1491,302090959.0,33286.0
2018-04-22,SNH,0.125,0.2196,0.149,0.1733,267812701.0,24411.0
2018-04-29,SNH,0.1182,0.1737,0.1726,0.1297,106203105.0,10312.0
2018-05-06,SNH,0.1221,0.1417,0.1297,0.1281,56418044.0,6681.0
